_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00174,0.0003965,0.003725,0.00158,4.3884,2.3576,0.46711,0.25095,1.1013,0.10644,0.77132
0.0018032,0.0003965,0.003725,0.00158,4.5477,2.3576,0.48408,0.25095,1.1413,0.10644,0.78764
0.0019831,0.0003965,0.003725,0.00158,5.0015,2.3576,0.53238,0.25095,1.2551,0.10644,0.83307
0.0022524,0.0003965,0.003725,0.00158,5.6806,2.3576,0.60466,0.25095,1.4256,0.10644,0.89826
0.00257,0.0003965,0.003725,0.00158,6.4817,2.3576,0.68993,0.25095,1.6266,0.10644,0.97111
0.0028876,0.0003965,0.003725,0.00158,7.2828,2.3576,0.7752,0.25095,1.8276,0.10644,1.0399
0.0031569,0.0003965,0.003725,0.00158,7.9619,2.3576,0.84749,0.25095,1.998,0.10644,1.0953
0.0033368,0.0003965,0.003725,0.00158,8.4157,2.3576,0.89579,0.25095,2.1119,0.10644,1.131
0.0034,0.0003965,0.003725,0.00158,8.575,2.3576,0.91275,0.25095,2.1519,0.10644,1.1432
0.00174,0.000193,0.003725,0.00158,9.0155,2.3576,0.46711,0.12215,1.1013,0.051812,0.71147
0.00174,0.0006,0.003725,0.00158,2.9,2.3576,0.46711,0.37975,1.1013,0.16107,0.82972
0.0019831,0.000193,0.003725,0.00158,10.275,2.3576,0.53238,0.12215,1.2551,0.051812,0.77825
0.0019831,0.0006,0.003725,0.00158,3.3052,2.3576,0.53238,0.37975,1.2551,0.16107,0.88687
0.00257,0.000193,0.003725,0.00158,13.316,2.3576,0.68993,0.12215,1.6266,0.051812,0.9266
0.00257,0.0006,0.003725,0.00158,4.2833,2.3576,0.68993,0.37975,1.6266,0.16107,1.0154
0.0031569,0.000193,0.003725,0.00158,16.357,2.3576,0.84749,0.12215,1.998,0.051812,1.0592
0.0031569,0.0006,0.003725,0.00158,5.2615,2.3576,0.84749,0.37975,1.998,0.16107,1.1318
0.0034,0.000193,0.003725,0.00158,17.617,2.3576,0.91275,0.12215,2.1519,0.051812,1.1101
0.0034,0.0006,0.003725,0.00158,5.6667,2.3576,0.91275,0.37975,2.1519,0.16107,1.1769
0.00174,0.0003965,0.0012,0.00158,4.3884,0.75949,1.45,0.25095,1.1013,0.33042,1.0566
0.00174,0.0003965,0.00625,0.00158,4.3884,3.9557,0.2784,0.25095,1.1013,0.06344,0.61831
0.0019831,0.0003965,0.0012,0.00158,5.0015,0.75949,1.6526,0.25095,1.2551,0.33042,1.1298
0.0019831,0.0003965,0.00625,0.00158,5.0015,3.9557,0.3173,0.25095,1.2551,0.06344,0.67037
0.00257,0.0003965,0.0012,0.00158,6.4817,0.75949,2.1417,0.25095,1.6266,0.33042,1.2877
0.00257,0.0003965,0.00625,0.00158,6.4817,3.9557,0.4112,0.25095,1.6266,0.06344,0.78922
0.0031569,0.0003965,0.0012,0.00158,7.9619,0.75949,2.6307,0.25095,1.998,0.33042,1.4237
0.0031569,0.0003965,0.00625,0.00158,7.9619,3.9557,0.5051,0.25095,1.998,0.06344,0.89897
0.0034,0.0003965,0.0012,0.00158,8.575,0.75949,2.8333,0.25095,2.1519,0.33042,1.4748
0.0034,0.0003965,0.00625,0.00158,8.575,3.9557,0.544,0.25095,2.1519,0.06344,0.94197
0.00174,0.0003965,0.003725,0.0008,4.3884,4.6562,0.46711,0.49562,2.175,0.10644,0.94821
0.00174,0.0003965,0.003725,0.00236,4.3884,1.5784,0.46711,0.16801,0.73729,0.10644,0.65934
0.0019831,0.0003965,0.003725,0.0008,5.0015,4.6562,0.53238,0.49562,2.4789,0.10644,1.0179
0.0019831,0.0003965,0.003725,0.00236,5.0015,1.5784,0.53238,0.16801,0.8403,0.10644,0.71488
0.00257,0.0003965,0.003725,0.0008,6.4817,4.6562,0.68993,0.49562,3.2125,0.10644,1.1724
0.00257,0.0003965,0.003725,0.00236,6.4817,1.5784,0.68993,0.16801,1.089,0.10644,0.83985
0.0031569,0.0003965,0.003725,0.0008,7.9619,4.6562,0.84749,0.49562,3.9461,0.10644,1.3097
0.0031569,0.0003965,0.003725,0.00236,7.9619,1.5784,0.84749,0.16801,1.3377,0.10644,0.95332
0.0034,0.0003965,0.003725,0.0008,8.575,4.6562,0.91275,0.49562,4.25,0.10644,1.3623
0.0034,0.0003965,0.003725,0.00236,8.575,1.5784,0.91275,0.16801,1.4407,0.10644,0.99734
0.00174,0.0002526,0.003725,0.00158,6.8883,2.3576,0.46711,0.15988,1.1013,0.067813,0.72897
0.00174,0.0005404,0.003725,0.00158,3.2199,2.3576,0.46711,0.34202,1.1013,0.14507,0.8129
0.00257,0.0002526,0.003725,0.00158,10.174,2.3576,0.68993,0.15988,1.6266,0.067813,0.93953
0.00257,0.0005404,0.003725,0.00158,4.7558,2.3576,0.68993,0.34202,1.6266,0.14507,1.0025
0.0034,0.0002526,0.003725,0.00158,13.46,2.3576,0.91275,0.15988,2.1519,0.067813,1.1196
0.0034,0.0005404,0.003725,0.00158,6.2917,2.3576,0.91275,0.34202,2.1519,0.14507,1.167
0.00174,0.000193,0.0012,0.00158,9.0155,0.75949,1.45,0.12215,1.1013,0.16083,0.99669
0.00174,0.000193,0.00625,0.00158,9.0155,3.9557,0.2784,0.12215,1.1013,0.03088,0.56182
0.00174,0.0006,0.0012,0.00158,2.9,0.75949,1.45,0.37975,1.1013,0.5,1.1137
0.00174,0.0006,0.00625,0.00158,2.9,3.9557,0.2784,0.37975,1.1013,0.096,0.67435
0.00257,0.000193,0.0012,0.00158,13.316,0.75949,2.1417,0.12215,1.6266,0.16083,1.2478
0.00257,0.000193,0.00625,0.00158,13.316,3.9557,0.4112,0.12215,1.6266,0.03088,0.74512
0.00257,0.0006,0.0012,0.00158,4.2833,0.75949,2.1417,0.37975,1.6266,0.5,1.3269
0.00257,0.0006,0.00625,0.00158,4.2833,3.9557,0.4112,0.37975,1.6266,0.096,0.83372
0.0034,0.000193,0.0012,0.00158,17.617,0.75949,2.8333,0.12215,2.1519,0.16083,1.4488
0.0034,0.000193,0.00625,0.00158,17.617,3.9557,0.544,0.12215,2.1519,0.03088,0.90729
0.0034,0.0006,0.0012,0.00158,5.6667,0.75949,2.8333,0.37975,2.1519,0.5,1.5013
0.0034,0.0006,0.00625,0.00158,5.6667,3.9557,0.544,0.37975,2.1519,0.096,0.97753
0.00174,0.000193,0.003725,0.0008,9.0155,4.6562,0.46711,0.24125,2.175,0.051812,0.87877
0.00174,0.000193,0.003725,0.00236,9.0155,1.5784,0.46711,0.08178,0.73729,0.051812,0.60697
0.00174,0.0006,0.003725,0.0008,2.9,4.6562,0.46711,0.75,2.175,0.16107,0
0.00174,0.0006,0.003725,0.00236,2.9,1.5784,0.46711,0.25424,0.73729,0.16107,0.71109
0.00257,0.000193,0.003725,0.0008,13.316,4.6562,0.68993,0.24125,3.2125,0.051812,1.1263
0.00257,0.000193,0.003725,0.00236,13.316,1.5784,0.68993,0.08178,1.089,0.051812,0.79875
0.00257,0.0006,0.003725,0.0008,4.2833,4.6562,0.68993,0.75,3.2125,0.16107,1.2182
0.00257,0.0006,0.003725,0.00236,4.2833,1.5784,0.68993,0.25424,1.089,0.16107,0.88087
0.0034,0.000193,0.003725,0.0008,17.617,4.6562,0.91275,0.24125,4.25,0.051812,1.333
0.0034,0.000193,0.003725,0.00236,17.617,1.5784,0.91275,0.08178,1.4407,0.051812,0.96476
0.0034,0.0006,0.003725,0.0008,5.6667,4.6562,0.91275,0.75,4.25,0.16107,1.3934
0.0034,0.0006,0.003725,0.00236,5.6667,1.5784,0.91275,0.25424,1.4407,0.16107,1.0302
0.00174,0.0003965,0.0019396,0.00158,4.3884,1.2276,0.89711,0.25095,1.1013,0.20443,0.94934
0.00174,0.0003965,0.0055104,0.00158,4.3884,3.4876,0.31576,0.25095,1.1013,0.071954,0.65555
0.00257,0.0003965,0.0019396,0.00158,6.4817,1.2276,1.325,0.25095,1.6266,0.20443,1.1723
0.00257,0.0003965,0.0055104,0.00158,6.4817,3.4876,0.46639,0.25095,1.6266,0.071954,0.83421
0.0034,0.0003965,0.0019396,0.00158,8.575,1.2276,1.753,0.25095,2.1519,0.20443,1.3568
0.0034,0.0003965,0.0055104,0.00158,8.575,3.4876,0.61701,0.25095,2.1519,0.071954,0.99244
0.00174,0.0003965,0.0012,0.0008,4.3884,1.5,1.45,0.49562,2.175,0.33042,1.3611
0.00174,0.0003965,0.0012,0.00236,4.3884,0.50847,1.45,0.16801,0.73729,0.33042,0.87435
0.00174,0.0003965,0.00625,0.0008,4.3884,7.8125,0.2784,0.49562,2.175,0.06344,0.74094
0.00174,0.0003965,0.00625,0.00236,4.3884,2.6483,0.2784,0.16801,0.73729,0.06344,0.53853
0.00257,0.0003965,0.0012,0.0008,6.4817,1.5,2.1417,0.49562,3.2125,0.33042,1.6165
0.00257,0.0003965,0.0012,0.00236,6.4817,0.50847,2.1417,0.16801,1.089,0.33042,1.0838
0.00257,0.0003965,0.00625,0.0008,6.4817,7.8125,0.4112,0.49562,3.2125,0.06344,0.93074
0.00257,0.0003965,0.00625,0.00236,6.4817,2.6483,0.4112,0.16801,1.089,0.06344,0.69424
0.0034,0.0003965,0.0012,0.0008,8.575,1.5,2.8333,0.49562,4.25,0.33042,1.8165
0.0034,0.0003965,0.0012,0.00236,8.575,0.50847,2.8333,0.16801,1.4407,0.33042,1.2571
0.0034,0.0003965,0.00625,0.0008,8.575,7.8125,0.544,0.49562,4.25,0.06344,1.099
0.0034,0.0003965,0.00625,0.00236,8.575,2.6483,0.544,0.16801,1.4407,0.06344,0.83443
0.00174,0.0003965,0.003725,0.0010285,4.3884,3.6219,0.46711,0.38553,1.6919,0.10644,0.88593
0.00174,0.0003965,0.003725,0.0021315,4.3884,1.7476,0.46711,0.18602,0.81631,0.10644,0.6879
0.00257,0.0003965,0.003725,0.0010285,6.4817,3.6219,0.68993,0.38553,2.4989,0.10644,1.1024
0.00257,0.0003965,0.003725,0.0021315,6.4817,1.7476,0.68993,0.18602,1.2057,0.10644,0.8736
0.0034,0.0003965,0.003725,0.0010285,8.575,3.6219,0.91275,0.38553,3.3059,0.10644,1.2868
0.0034,0.0003965,0.003725,0.0021315,8.575,1.7476,0.91275,0.18602,1.5951,0.10644,1.0351
0.00257,0.00020849,0.003725,0.00158,12.327,2.3576,0.68993,0.13196,1.6266,0.055971,0.92994
0.00257,0.00031862,0.003725,0.00158,8.0659,2.3576,0.68993,0.20166,1.6266,0.085537,0.95399
0.00257,0.00047438,0.003725,0.00158,5.4176,2.3576,0.68993,0.30024,1.6266,0.12735,0.98818
0.00257,0.00058451,0.003725,0.00158,4.3968,2.3576,0.68993,0.36994,1.6266,0.15692,1.0121
0.00257,0.0002526,0.0012,0.00158,10.174,0.75949,2.1417,0.15988,1.6266,0.2105,1.2595
0.00257,0.0002526,0.00625,0.00158,10.174,3.9557,0.4112,0.15988,1.6266,0.040417,0.75784
0.00257,0.0005404,0.0012,0.00158,4.7558,0.75949,2.1417,0.34202,1.6266,0.45033,1.3155
0.00257,0.0005404,0.00625,0.00158,4.7558,3.9557,0.4112,0.34202,1.6266,0.086463,0.82076
0.00257,0.0002526,0.003725,0.0008,10.174,4.6562,0.68993,0.31575,3.2125,0.067813,1.1395
0.00257,0.0002526,0.003725,0.00236,10.174,1.5784,0.68993,0.10704,1.089,0.067813,0.81072
0.00257,0.0005404,0.003725,0.0008,4.7558,4.6562,0.68993,0.6755,3.2125,0.14507,1.205
0.00257,0.0005404,0.003725,0.00236,4.7558,1.5784,0.68993,0.22898,1.089,0.14507,0.86893
0.00257,0.000193,0.0019396,0.00158,13.316,1.2276,1.325,0.12215,1.6266,0.099507,1.13
0.00257,0.000193,0.0055104,0.00158,13.316,3.4876,0.46639,0.12215,1.6266,0.035024,0.78979
0.00257,0.0006,0.0019396,0.00158,4.2833,1.2276,1.325,0.37975,1.6266,0.30935,1.214
0.00257,0.0006,0.0055104,0.00158,4.2833,3.4876,0.46639,0.37975,1.6266,0.10888,0.87884
0.00257,0.000193,0.0012,0.0008,13.316,1.5,2.1417,0.24125,3.2125,0.16083,1.587
0.00257,0.000193,0.0012,0.00236,13.316,0.50847,2.1417,0.08178,1.089,0.16083,1.0436
0.00257,0.000193,0.00625,0.0008,13.316,7.8125,0.4112,0.24125,3.2125,0.03088,0.88119
0.00257,0.000193,0.00625,0.00236,13.316,2.6483,0.4112,0.08178,1.089,0.03088,0.65457
0.00257,0.0006,0.0012,0.0008,4.2833,1.5,2.1417,0.75,3.2125,0.5,1.6467
0.00257,0.0006,0.0012,0.00236,4.2833,0.50847,2.1417,0.25424,1.089,0.5,1.1233
0.00257,0.0006,0.00625,0.0008,4.2833,7.8125,0.4112,0.75,3.2125,0.096,0.98036
0.00257,0.0006,0.00625,0.00236,4.2833,2.6483,0.4112,0.25424,1.089,0.096,0.73434
0.00257,0.000193,0.003725,0.0010285,13.316,3.6219,0.68993,0.18766,2.4989,0.051812,1.0562
0.00257,0.000193,0.003725,0.0021315,13.316,1.7476,0.68993,0.090545,1.2057,0.051812,0.83148
0.00257,0.0006,0.003725,0.0010285,4.2833,3.6219,0.68993,0.5834,2.4989,0.16107,1.1482
0.00257,0.0006,0.003725,0.0021315,4.2833,1.7476,0.68993,0.28149,1.2057,0.16107,0.9156
0.00257,0.0003965,0.0013922,0.00158,6.4817,0.88114,1.846,0.25095,1.6266,0.2848,1.2552
0.00257,0.0003965,0.0027587,0.00158,6.4817,1.746,0.93159,0.25095,1.6266,0.14373,1.0692
0.00257,0.0003965,0.0046913,0.00158,6.4817,2.9692,0.54783,0.25095,1.6266,0.084519,0.89128
0.00257,0.0003965,0.0060578,0.00158,6.4817,3.834,0.42425,0.25095,1.6266,0.065453,0.80039
0.00257,0.0003965,0.0019396,0.0008,6.4817,2.4244,1.325,0.49562,3.2125,0.20443,1.4511
0.00257,0.0003965,0.0019396,0.00236,6.4817,0.82185,1.325,0.16801,1.089,0.20443,0.99619
0.00257,0.0003965,0.0055104,0.0008,6.4817,6.8881,0.46639,0.49562,3.2125,0.071954,0.98958
0.00257,0.0003965,0.0055104,0.00236,6.4817,2.3349,0.46639,0.16801,1.089,0.071954,0.73065
0.00257,0.0003965,0.0012,0.0010285,6.4817,1.1668,2.1417,0.38553,2.4989,0.33042,1.5
0.00257,0.0003965,0.0012,0.0021315,6.4817,0.56297,2.1417,0.18602,1.2057,0.33042,1.1354
0.00257,0.0003965,0.00625,0.0010285,6.4817,6.0771,0.4112,0.38553,2.4989,0.06344,0.88202
0.00257,0.0003965,0.00625,0.0021315,6.4817,2.9321,0.4112,0.18602,1.2057,0.06344,0.71889
0.00257,0.0003965,0.003725,0.00085937,6.4817,4.3346,0.68993,0.46138,2.9905,0.10644,1.153
0.00257,0.0003965,0.003725,0.0012815,6.4817,2.9067,0.68993,0.3094,2.0055,0.10644,1.0367
0.00257,0.0003965,0.003725,0.0018785,6.4817,1.983,0.68993,0.21107,1.3681,0.10644,0.91516
0.00257,0.0003965,0.003725,0.0023006,6.4817,1.6191,0.68993,0.17234,1.1171,0.10644,0.84832
